naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela
VADITELJ,,"5,07 €/h neto",PREDOSLJE,Pomočnik/ica trenerja ritmične gimnastike-rekreativni program. Pogoj so izkušnje iz ritmične gimnastike in veselje do dela z otroki. Možnost dolgoročnega sodelovanja ter usposabljanja za trenerja., 1 , ŠOLSKO LETO 2019/2020 , Popoldan, 308859 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"4,13 €/h neto",LJUBLJANA BEŽIGRAD,"Likvidacija računov. Pogoji: znanje dela z računalnikom, MS Excela in Worda ter komunikacijske veščine. Pričetek dela je takoj. Prijave sprejemajo na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308858 , začasno in občasno delo
VADITELJ,,"5,07 €/h neto",LJUBLJANA,Pomočnik/ica trenerja ritmične gimnastike-rekreativni program. Pogoj so izkušnje iz ritmične gimnastike in veselje do dela z otroki. Možnost dolgoročnega sodelovanja ter usposabljanja za trenerja., 1 , ŠOLSKO LETO 2019/2020 , Popoldan, 308857 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",MARIBOR,"Podjetje potrebuje osebo za strežbo v baru. Lokal je med tednom odprt od 5.30 do 21.00, v soboto od 6.30 do 15.00, nedelje in praznike je zaprto.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308855 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,13 €/h neto",BLED,"Iščejo študentko/študenta za pomoč pri prodaji oblačil in skrbi za urejenost prodajnega prostora. Študent naj ima smisel za delo z ljudmi, kreativnost, samoiniciatovnost. Delo v timu. Plačilo: 4,89 €/h bruto, 5,8 €/h bruto za nedeljsko delo.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308854 , začasno in občasno delo
ČIŠČENJE,,"5,00 €/h neto",IVANČNA GORICA,Čiščenje prostorov vrtca. Delo v kolektivu v popoldanskem času., 1 , DLJE ČASA (OBČASNO) , Popoldan, 308853 , začasno in občasno delo
MEDICINSKA SESTRA,ZDRAVSTVENI TEHNIK,"6,00 €/h neto",RENČE,"Pomoč in sodelovanje pri izvajanju postopkov in posegov zdravstvene nege. Sodelovanje pri delu zdravstveno - negovalnega tima zasebnega doma starejših občanov. Pogoji: končana srednja zdravstvena šola, študenti zdravstvene nege, strokovni izpit.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 308852 , začasno in občasno delo
INFORMATIKA,,"5,15 €/h neto",LJUBLJANA BEŽIGRAD,"Iščemo študenta/ko za pomoč pri podpori uporabnikov (priklop računalniške opreme, priprava računalnikov in nameščanje programske opreme). Delo poteka med tednom v dopoldanskem času.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308851 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"6,00 €/h neto",CELJE,"Podjetje potrebuje polnoletne, komunikativne in vestne osebe za pomoč pri prodaji hrane in pijač na stojnici pred hotelom. Gre za delo v mesecu decembru 2019 v popoldanskem času, po dogovoru in potrebi. Interesenti naj pošljejo vlogo na kontakt podjetja.", 10 , MESEC DECEMBER 2019 , Popoldan, 308849 , začasno in občasno delo
KOZMETIČNE STORITVE,,"4,22 €/h neto",LJUBLJANA RUDNIK,"Nega nohtov, manikura, delo s strankami. Zaželena kozmetična šola ali NPK in izkušnje z modeliranjem nohtov, permanentnim lakiranjem, zanesljivost in odgovornost. Možna je tudi priučitev. Poleg urne postavke ponujajo tudi stimulativno plačilo. Pokliči.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 308847 , začasno in občasno delo
PRODAJA,,"4,13 €/h neto",MARIBOR,"Podjetje išče študenta/ko za delo v njihovih trgovinah. Delo zajema svetovanje strankam, prodajo, delo z zalogami in blagajno, pripravo ponudb in pogodb, urejanje trgovine ter ostala dela v trgovini. Prednost imajo člani/ce z izkušnjami na področju prodaje in lastnim prevozom.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 308846 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",SEŽANA,"Strežba v prijetnem lokalu ob tribunah. Delo po dogovoru - lahko tudi samo ob vikendih. Polnoletnost in izkušnje  zaželene, niso pa pogoj, dela vas priučijo.", 2 , PO DOGOVORU , Po dogovoru, 308845 , začasno in občasno delo
HOSTES/A,,"10,14 €/h neto",LJUBLJANA,"Hostesno delo na dogodku, sprejem gostov...  v ponedeljek 11. novembra od 14. do 24. ure. Pogoji: komunikativnost, odgovornost, samozavest, prijeten značaj in pozitivna energija, dinamičnost, vljudnost, profesionalnost.  Možno tudi dolgoročno sodelovanje. Pošlji prijavo na e-naslov.", 1 , 11.11. , Popoldan, 308844 ,
HOSTES/A,,"10,14 €/h neto",KRANJ,"Hostesno delo na dogodku, sprejem gostov... v sredo 6. 11. od 17. do 23. ure. Pogoji: komunikativnost, odgovornost, samozavest, prijeten značaj in pozitivna energija, dinamičnost, vljudnost, profesionalnost.  Možno tudi dolgoročno sodelovanje. Če nisi iz Kranja, povrnejo stroške. Pošlji prijavo na e-naslov.", 1 , 6. 11. , Popoldan, 308843 ,
DELO V PROIZVODNJI,,"5,50 €/h neto",RADOMLJE,"Lažja dela v proizvodnji (zlaganje in pakiranje) ter občasno delo v skladišču  (dvigovanje bremen -  do 25 kg). Pogoji: starost nad 18 let, končana poklicna ali srednja šola, primerna fizična moč in izpit B kategorije. Plačilo je lahko tudi več za dobro opravljeno delo. Prijave sprejemajo na e-mail.", 2 , PO DOGOVORU , Dopoldan, 308842 , začasno in občasno delo
KLICNI CENTER,,"4,50 €/h neto",LJUBLJANA BEŽIGRAD,"Zanimivo in razgibano delo v kontaktnem centru. Narava dela je sprejemanje dohodnih klicev, ki obsega svetovanje in posredovanje informacij o celotni ponudbi. Če se rad/a iz dneva v dan učiš novih stvari, se jim pridruži. Vloge pošljite na e-naslov.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 308841 , začasno in občasno delo
PRODAJA,,"5,00 €/h neto",MARIBOR,"Prodaja in promocija kozmetičnih izdelkov in izdelkov za osebno nego v trgovini v centru mesta/stojnica med Božičnim sejmom. Pogoji: nad 20 let, energičnost, prijaznost,spretnost, zanesljivost,visoka motiviranost za nagrade in pripravljenost na nove izzive. Delo je za daljše obdobje, možnost kasnejše redne zaposlitve. Plačilo: osnovna postavka + stimulacija. Prijavo in kratko predstavitev na mail.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 308840 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,50 €/h neto",ŠMARJE SAP,"Opis dela: pomoč pri pripravi surovin v čokoladnici. Ob sobotah dopoldne,  med tednom občasno popoldansko delo. Zahtevana natančnost.  Urna postavka po dogovoru. Za več informacij o delu pokličite.", 1 , DLJE ČASA (OBČASNO) , Popoldan, 308839 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,50 €/h neto",ŠMARJE  - SAP,"Opis dela: praženje in pomoč pri pripravi surovin v čokoladnici. Ob sobotah dopoldne,  med tednom občasno popoldansko delo. Zahtevana natančnost.  Urna postavka po dogovoru. Za več informacij o delu pokličite.", 1 , DLJE ČASA (OBČASNO) , Popoldan, 308838 , začasno in občasno delo
PRODAJA,,"5,00 €/h neto",LJUBLJANA,"Pomoč pri prodaji in promociji v trgovinah s kozmetičnimi izdelki in izdelki za osebno nego. Pogoji: energičnost, prijaznost, spretnost, zanesljivost, visoka motiviranost za nagrade in pripravljenost na nove izzive. Urna postavka je od 5,92 do 10,65 € bruto (5 do 9 € neto),  decembra tudi več. Možnost kasnejše redne zaposlitve. Prijavo in kratko predstavitev pošlji na e-mail.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 308837 , začasno in občasno delo
POMOČ PRI PRODAJI,DELO NA BLAGAJNI,"4,22 €/h neto",PTUJ,"Podjetje potrebuje polnoletni, komunikativni, vestni in zanesljivi osebi za pomoč pri prodaji otroških artiklov. Delo zajema pomoč na blagajni, svetovanje kupcem, polnjenje polic, ipd. Odpiralni čas prodajalne znotraj nakupovalnega centra je od 8. - 21. ure. Dela se v dopoldanskem in popoldanskem času, oz. po dogovoru in potrebi. Interesenti naj v dopoldanskem času pokličejo na kontakt podjetja.", 2 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ", Izmensko, 308836 , začasno in občasno delo
DELO NA RECEPCIJI,,"4,22 €/h neto",KRANJ,"Potrebujejo polnoletno osebo za občasno delo na recepciji doma upokojencev, sprejem in usmerjanje strank, sprejemanje telefonskih klicev, administrativna dela. Delo poteka večinoma med vikendi, lahko tudi med tednom. Pogoji: veselje do dela s starostniki, prijaznost in komunikativnost. Prednost kandidati s statusom študenta. Prijave sprejemajo na e-mail, za dodatna vprašanja so na voljo.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308835 , začasno in občasno delo
FIZIOTERAPIJA,,"8,20 €/h neto",LJUBLJANA Z OKOLICO,"Prednost imajo absolventi fizioterapije ali delovne terapije. Delo poteka na terenu, zato je nujen lasten prevoz. Plačilo na začetku znaša 7,50 €/50min bruto in je stimulirano do 8,2 oziroma 9,70 € bruto za 50 minut. Prijave + CV sprejemajo na e-mail.", 2 ," DLJE ČASA, PRILAGODLJIV URNIK. ", Po dogovoru, 308834 , začasno in občasno delo
POMOČ PRI PRODAJI,,"5,00 €/h neto",LJUBLJANA,"V svoj kolektiv vabijo komunikativnega/o, vestnega/o in prijaznega/o študenta/ko za pomoč pri prodaji v trgovini. Prednost imajo študenti/ke nižjih letnikov, ki bi bili pripravljeni delo opravljati dlje časa (občasno). Prijavo in življenjepis pošljite na e-naslov podjetja s pripisom: Za Ljubljano.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 308833 , začasno in občasno delo
BLAGAJNIK,,"4,13 €/h neto",ŠTEPANJSKO NASELJE,Podjetje išče več polnoletnih oseb za delo na blagajni., 3 , DLJE ČASA (OBČASNO) , Po dogovoru, 308832 , začasno in občasno delo
DELO NA RECEPCIJI,,"4,50 €/h neto",RADOVLJICA,"Delo na recepciji: sprejem telefonskih klicev, pomoč stanovalcem in zaposlenim. Pogoji: odgovornost, prijaznost, zanesljivost in prilagodljivost. Kandidati naj CV pošljejo na e-mail.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 308831 , začasno in občasno delo
KOMERCIALNA DELA,,"5,07 €/h neto",KAMNIK,"Se znajdeš na spletu? Ti odgovarja  delovnik in kraj dela, ki si ga sam-a določaš? Si ambiciozen -a? Vabijo te, da se pridružiš ekipi kot razvijalec-ka potencialnih produktov. Delo bo obsegalo iskanje novih produktov za namene spletne prodaje, predstavitev le teh in v nadaljevanju komuniciranje z dobavitelji.  Možnost dolgoročnega sodelovanja.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308830 , začasno in občasno delo
POMOČ V KUHINJI,,"4,75 €/h neto",MARIBOR,"Bi delal/a v mladi ekipi v novi restavraciji v centru Maribora? Če si navdušenka ali navdušenec nad azijsko hrano, te bodo veseli v kolektivu. Delovni čas je po dogovoru. Delo obsega čiščenje in pripravo sestavin in drugo asistenco kuharjem. Veselje do učenja in kuhanja je pomembnejše od izkušenj. Plačilo se viša glede na izkušnje, poleg plačila na uro se dobi tudi napitnina.", 1 ," DLJE ČASA (OBČASNO), PO DOGOVORU ", Po dogovoru, 308829 , začasno in občasno delo
DELO S STRANKAMI,,"5,24 €/h neto",LJUBLJANA,"Priznani frizareski salon vabi v svoj kolektiv prijazno, komunikativno, delavno, vestno osebo, z občutkom za delo z ljudmi, ki se je pripravljena učiti pri mojstru frizerske obrti, uveljavljenem doma in na zahodu. Izkušnje niso potrebne. Pogoj: trenutno šolanje na frizerski šoli, oziroma že končana frizerska smer. Za več informacij in prijavo pišite na e-mail.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 308828 , začasno in občasno delo
POMOČ V KUHINJI,,PO DOGOVORU,LJUBLJANA CENTER,"Pomoč pri čiščenju kuhinje in področij za pripravo hrane, pomoč pri pripravi hrane (preprosti postopki kot rezanje, segrevanje, zlaganje na krožnik) odvisno glede na znanje in izkušnje, shranjevanje zalog v hladilnikih in omarah, prevzem dostave, pomivanje posode in kuhinjskih pripomočkov, ostala dela po navodilu kuharja. Plačilo je odvisno od znanja in izkušenj.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 308827 , začasno in občasno delo
POMOČNIK VZGOJITELJICE/VZGOJITELJA,,"4,13 €/h neto",LJUBLJANA,"V vrtcu potrebujejo pomoč pri varstvu in negi otrok za kratek čas, možno tudi nadaljne sodelovanje. Pogoji: zanesljiva, odgovorna oseba z izkušnjami.", 1 , 13.-15.11.2019 , Po dogovoru, 308826 ,
ADMINISTRATIVNA DELA,ANALITIČNO DELO V FINANČNEM SEKTORJU,"5,20 €/h neto",LJUBLJANA,Tajništvo -  pomoč pri analitičnih in strokovnih delih na oddelku Plačilni in poravnalni sistemi (PPS). Zaželeni so absolventi dodiplomskih ali podiplomskih ekonomskih ved. Vlogo z življenjepisom posredujte na elektronski naslov., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308824 , začasno in občasno delo
RAZVOZ,,"4,50 €/h neto",MARIBOR,Razvoz hrane po Mariboru s službenim vozilom. Iščejo resne in odgovorne osebe. Pogoja sta vozniški izpit B kategorije in izkušnje., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 308822 , začasno in občasno delo
DELO NA RECEPCIJI,,"4,13 €/h neto",LJUBLJANA,"Delo dežurnega na recepciji rastlinjaka in trgovine vključuje sprejem obiskovalcev, delo z blagajno, čiščenje prostorov, zalivanje in pletje rastlin, čiščenje in pakiranje semen in druga ročna dela. Če vas zanima botanika, ste komunikativni, odgovorni, radi delate z rastlinami in z ljudmi, jim do 8.11. pošljite osebno predstavitev. Več informacij o delu dobite 11.11. ob 8:00 na uvodnem sestanku.", 4 , DLJE ČASA (OBČASNO) , Po dogovoru, 308820 , začasno in občasno delo
STROKOVNO DELO,ADMINISTRATIVNA DELA,"5,66 €/h neto",LJUBLJANA CENTER,"Pisanje dopisov, oblikovanje internet strani in ostala dela. Potrebno je znanje s pravnega in ekonomskega področja, poznavanje delovanja evropskih razpisov, računalniška pismenost. Dela se dopoldan med 8. in 12. uro. Urna postavka je lahko tudi višja, odvisno od znanja. Pokliči ali pošlji prijavo na e-naslov.", 1 , PO DOGOVORU , Dopoldan, 308821 , začasno in občasno delo
FIZIČNA DELA,,"8,00 €/h neto",PORTOROŽ,Pomoč pri selitvi opreme iz hotelov., 4 , DO 30.11.2019 , Po dogovoru, 308819 , začasno in občasno delo
PAKIRANJE,,"4,39 €/h neto",LJUBLJANA - ŠIŠKA,"Podjetje išče vestno in odgovorno osebo za delo v spletni trgovini. Delo zajema skladiščenje, pakiranje, štetje blaga, zlaganje na police. Pogoji: resnost, natančnost, hitrost. S kandidatom/ko si želijo daljšega sodelovanja. Prijave sprejemajo na mail.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308818 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",TRNOVSKA VAS,"Podjetje potrebuje polnoletno in komunikativno osebo za delo v strežbi. Večinoma potrebujejo pomoč med vikendi, po potrebi tudi med tednom. Delovni čas je po dogovoru. Za prijavo pokličite na kontakt podjetja.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 308817 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"5,49 €/h neto",LENDAVA,"Znano farmacevtsko podjetje išče polnoletno osebo za administrativna dela na oddelku planiranja (priprava in pregled delovnih nalogov za proizvodnjo, spremljanje realizacije plana, vzdrževanje in vnos podatkov, ki podpira proces planiranja..). Prednost kandidati višjih letnikov poslovne-ekonomske smeri študija, matematike, računalništva...Prijavo s CV pošljite na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308816 , začasno in občasno delo
STROKOVNO DELO,TEHNIČNA POMOČ,"4,65 €/h neto",LJUBLJANA,"Farmacevtsko podjetje potrebuje polnoletno osebo naravoslovne ali tehnične smeri študija za pomoč pri izdelavi elektronskih tehnoloških postopkov (pomoč pri pripravi tehnoloških postopkov, ekstrakcij iz sistemov, priprava osnutkov dokumentacije po predlogih, delo s podatki v okolju Excel ter SAP, urejanje dokumentacije....). Dopoldanski delovnik. Prijavo s CV pošljite na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308815 , začasno in občasno delo
ADMINISTRATIVNA DELA,,"5,07 €/h neto",MENGEŠ,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč pri administrativnih delih (urejanje dokumentacije, urejanje arhiva, zbiranje podatkov...). Prednost študentje mikrobiologija, biotehnologije, biokemije, farmacije.... Dopoldanski delovnik.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308814 , začasno in občasno delo
DELO V PROIZVODNJI,DELO V PRALNICI,"4,65 €/h neto",LJUBLJANA,"Znano farmacevtsko podjetje potrebuje polnoletni osebi za fizična dela v proizvodnji  - pralnica (posluževanje pomivalnega stroja za formatne dele, zlaganje delov na vozičke, pranje v pomivalnem stroju, sestava in pakiranje opranih delov v namensko embalažo). Delo se opravlja v 3. ali 4. izmenah (obvezno). Plačilo za nočno delo 7 € bruto/h. Prijavo s kratkim CV pošljite na e-naslov.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 308813 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,65 €/h neto",LJUBLJANA,Pomoč pri prodaji v trgovini z izdelki za vsakodnevno rabo. Pogoj je starost nad 18 let. Izkušnje so zaželene., 1 , DLJE ČASA (OBČASNO) , Izmensko, 308812 , začasno in občasno delo
ADMINISTRATIVNA DELA,TEHNOLOG,"5,07 €/h neto",LJUBLJANA,"Znano farmacevtsko podjetje potrebuje polnoletne osebe za pomoč tehnologom pri statističnem vrednotenju podatkov za validacije, pripravi osnutkov planov in poročil, ostalo strokovno in administrativno podporo. Prednost imajo študentje farmacije, mikrobiologije, kemije ali kemijske tehnologije, prijavijo pa se lahko tudi kandidati drugih naravoslovnih smeri. Prijavo s CV pošljite na e-naslov.", 3 , DLJE ČASA (OBČASNO) , Dopoldan, 308811 , začasno in občasno delo
PAKIRANJE,,"4,65 €/h neto",LJUBLJANA - BEŽIGRAD,"Znano farmacevtsko podjetje potrebuje polnoletne osebe za delo v pakirnici na oddelku trdnih izdelkov. Dela se v treh izmenah. Dnevna urna postavka od 5,50 - 6.00 € bruto, nočna urna postavka od  7,00  - 8,30 € bruto. Pogoj je tudi osnovno znanje slovenskega jezika (razumevanje navodil). Prijavo s CV pošlji na e-naslov.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 308810 , začasno in občasno delo
DELO V PROIZVODNJI,,"5,07 €/h neto",MENGEŠ,"Znano farmacevtsko podjetje potrebuje polnoletne osebe za delo v proizvodnji - delo na liniji (kontrola izdelkov, skrb za čistočo linije, izpolnjevaje pripadajoče dokumentacije...). Delo poteka v treh izmenah. Plačilo za nočno delo je 8 €/h bruto. Prijavo s CV pošljte na e-naslov.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 308808 , začasno in občasno delo
DELO NA RECEPCIJI,,"4,23 €/h neto",ŽEJE PRI KOMENDI,"Podjetje išče polnoletno osebo za delo na recepciji (administrativna dela na recepciji, enostavna postrežba obiskovalcev, priprava sejnih sob, prevzem in oddaja pošte). Zaželeni absolventi. Pogoji za nastop dela: samostojnost, urejenost, komunikativnost, zanesljivost, prijaznost, osnovno znanje nemškega in angleškega jezika. Prijave s CV pošljite na mail.", 1 , DLJE ČASA (OBČASNO) , Dopoldan, 308807 , začasno in občasno delo
DELO V PROIZVODNJI,ČIŠČENJE,"4,65 €/h neto",LJUBLJANA,"Znano farmacevtsko podjetje išče polnoletne osebe za delo v proizvodnji na oddelku tabletiranja (pomoč v proizvodnji ter čiščenje opreme). Delo se opravlja v treh izmenah (vikendi prosti). Dnevna urna postavka znaša 5,5 €/h bruto, nočna pa 8,5 €/h bruto. Prijavo s CV pošljite na e-naslov.", 3 , DLJE ČASA (OBČASNO) , Izmensko, 308806 , začasno in občasno delo
POMOČ PRI PRODAJI,,"4,65 €/h neto",PTUJ,"Podjetje išče polnoletni, vestni in zanesljivi osebi za pomoč pri prodaji. Pogoj je starost nad 18 let. Urna postavka za delo ob nedeljah je 8,28 € bruto, za delo od ponedeljka do sobote pa 5,5 € bruto. Interesenti naj pokličejo na kontakt podjetja.", 1 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ", Po dogovoru, 308805 , začasno in občasno delo
PRODAJA,,"4,22 €/h neto",CELJE,"Podjetje potrebuje polnoletno osebo za pomoč pri prodaji v otroški trgovini. Delo obsega svetovanje strankam, delo na blagajni, čiščenje in pospravljanje poslovalnice in skladišča. Dela se med vikendi. Za prijavo pokličite na kontakt podjetja.", 1 , DLJE ČASA (OBČASNO) , Med vikendom, 308804 , začasno in občasno delo
