naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa
POMOČ UPORABNIKOM,VELENJE, 1 , Izmensko, začasno in občasno delo, 308865 , DLJE ČASA (OBČASNO) ,POMOČ UPORABNIKOM,,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Velenje, pošlji na email.","4,22 €/h neto"
INŠTRUKCIJE,KAMNIK, 1 , Po dogovoru, začasno in občasno delo, 308864 , DLJE ČASA (OBČASNO) ,INŠTRUKCIJE,,Inštrukcije in pomoč pri učenju za predmet matematike.,"4,13 €/h neto"
POMOČ UPORABNIKOM,PTUJ, 1 , Izmensko, začasno in občasno delo, 308862 , DLJE ČASA (OBČASNO) ,POMOČ UPORABNIKOM,,"Delo v prodajnem centru, prodaja storitev, svetovanje, delo s strankami. Redno delo in redno plačilo. Vrhunska pomoč in podpora. Zahtevana znanja/veščine: dobre komunikacijske sposobnosti, prodajna in podjetniška usmerjenost, veselje do dela z ljudmi. Začetna urna postavka 5 € bruto, z možnostjo stimulacije.  CV s prijavo, telefonsko številko, OBVEZNO s pripisom Telekomov center Ptuj, pošlji na email.","4,22 €/h neto"
POMOČ V TRGOVINI,CELJE, 1 , Po dogovoru, začasno in občasno delo, 308861 , DLJE ČASA (OBČASNO) ,POMOČ V TRGOVINI,BLAGAJNIK,"Iščejo polnoletno osebo za delo na blagajni, polnjenje polic in ostalo pomoč v trgovini.","4,13 €/h neto"
DELO V PROIZVODNJI,LOGATEC, 4 , Izmensko, začasno in občasno delo, 308860 , PO DOGOVORU ,DELO V PROIZVODNJI,,"Podjetje potrebuje več kandidatov, ki bi v proizvodnji opravljali fizična dela, kot pomočniki upravljalcev strojev. Delovno obleko in čevlje zagotavlja delodajalec. Malica zagotovljena.","5,30 €/h neto"
VADITELJ,PREDOSLJE, 1 , Popoldan, začasno in občasno delo, 308859 , ŠOLSKO LETO 2019/2020 ,VADITELJ,,Pomočnik/ica trenerja ritmične gimnastike-rekreativni program. Pogoj so izkušnje iz ritmične gimnastike in veselje do dela z otroki. Možnost dolgoročnega sodelovanja ter usposabljanja za trenerja.,"5,07 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA BEŽIGRAD, 1 , Dopoldan, začasno in občasno delo, 308858 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Likvidacija računov. Pogoji: znanje dela z računalnikom, MS Excela in Worda ter komunikacijske veščine. Pričetek dela je takoj. Prijave sprejemajo na e-naslov.","4,13 €/h neto"
VADITELJ,LJUBLJANA, 1 , Popoldan, začasno in občasno delo, 308857 , ŠOLSKO LETO 2019/2020 ,VADITELJ,,Pomočnik/ica trenerja ritmične gimnastike-rekreativni program. Pogoj so izkušnje iz ritmične gimnastike in veselje do dela z otroki. Možnost dolgoročnega sodelovanja ter usposabljanja za trenerja.,"5,07 €/h neto"
STREŽBA,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 308855 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje potrebuje osebo za strežbo v baru. Lokal je med tednom odprt od 5.30 do 21.00, v soboto od 6.30 do 15.00, nedelje in praznike je zaprto.","5,07 €/h neto"
POMOČ PRI PRODAJI,BLED, 1 , Po dogovoru, začasno in občasno delo, 308854 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"Iščejo študentko/študenta za pomoč pri prodaji oblačil in skrbi za urejenost prodajnega prostora. Študent naj ima smisel za delo z ljudmi, kreativnost, samoiniciatovnost. Delo v timu. Plačilo: 4,89 €/h bruto, 5,8 €/h bruto za nedeljsko delo.","4,13 €/h neto"
ČIŠČENJE,IVANČNA GORICA, 1 , Popoldan, začasno in občasno delo, 308853 , DLJE ČASA (OBČASNO) ,ČIŠČENJE,,Čiščenje prostorov vrtca. Delo v kolektivu v popoldanskem času.,"5,00 €/h neto"
MEDICINSKA SESTRA,RENČE, 2 , Po dogovoru, začasno in občasno delo, 308852 , DLJE ČASA (OBČASNO) ,MEDICINSKA SESTRA,ZDRAVSTVENI TEHNIK,"Pomoč in sodelovanje pri izvajanju postopkov in posegov zdravstvene nege. Sodelovanje pri delu zdravstveno - negovalnega tima zasebnega doma starejših občanov. Pogoji: končana srednja zdravstvena šola, študenti zdravstvene nege, strokovni izpit.","6,00 €/h neto"
INFORMATIKA,LJUBLJANA BEŽIGRAD, 1 , Dopoldan, začasno in občasno delo, 308851 , DLJE ČASA (OBČASNO) ,INFORMATIKA,,"Iščemo študenta/ko za pomoč pri podpori uporabnikov (priklop računalniške opreme, priprava računalnikov in nameščanje programske opreme). Delo poteka med tednom v dopoldanskem času.","5,15 €/h neto"
STREŽBA HRANE IN PIJAČE,CELJE, 10 , Popoldan, začasno in občasno delo, 308849 , MESEC DECEMBER 2019 ,STREŽBA HRANE IN PIJAČE,,"Podjetje potrebuje polnoletne, komunikativne in vestne osebe za pomoč pri prodaji hrane in pijač na stojnici pred hotelom. Gre za delo v mesecu decembru 2019 v popoldanskem času, po dogovoru in potrebi. Interesenti naj pošljejo vlogo na kontakt podjetja.","6,00 €/h neto"
KOZMETIČNE STORITVE,LJUBLJANA RUDNIK, 2 , Po dogovoru, začasno in občasno delo, 308847 , DLJE ČASA (OBČASNO) ,KOZMETIČNE STORITVE,,"Nega nohtov, manikura, delo s strankami. Zaželena kozmetična šola ali NPK in izkušnje z modeliranjem nohtov, permanentnim lakiranjem, zanesljivost in odgovornost. Možna je tudi priučitev. Poleg urne postavke ponujajo tudi stimulativno plačilo. Pokliči.","4,22 €/h neto"
PRODAJA,MARIBOR, 1 , Izmensko, začasno in občasno delo, 308846 , DLJE ČASA (OBČASNO) ,PRODAJA,,"Podjetje išče študenta/ko za delo v njihovih trgovinah. Delo zajema svetovanje strankam, prodajo, delo z zalogami in blagajno, pripravo ponudb in pogodb, urejanje trgovine ter ostala dela v trgovini. Prednost imajo člani/ce z izkušnjami na področju prodaje in lastnim prevozom.","4,13 €/h neto"
STREŽBA,SEŽANA, 2 , Po dogovoru, začasno in občasno delo, 308845 , PO DOGOVORU ,STREŽBA,,"Strežba v prijetnem lokalu ob tribunah. Delo po dogovoru - lahko tudi samo ob vikendih. Polnoletnost in izkušnje  zaželene, niso pa pogoj, dela vas priučijo.","6,00 €/h neto"
HOSTES/A,LJUBLJANA, 1 , Popoldan,, 308844 , 11.11. ,HOSTES/A,,"Hostesno delo na dogodku, sprejem gostov...  v ponedeljek 11. novembra od 14. do 24. ure. Pogoji: komunikativnost, odgovornost, samozavest, prijeten značaj in pozitivna energija, dinamičnost, vljudnost, profesionalnost.  Možno tudi dolgoročno sodelovanje. Pošlji prijavo na e-naslov.","10,14 €/h neto"
HOSTES/A,KRANJ, 1 , Popoldan,, 308843 , 6. 11. ,HOSTES/A,,"Hostesno delo na dogodku, sprejem gostov... v sredo 6. 11. od 17. do 23. ure. Pogoji: komunikativnost, odgovornost, samozavest, prijeten značaj in pozitivna energija, dinamičnost, vljudnost, profesionalnost.  Možno tudi dolgoročno sodelovanje. Če nisi iz Kranja, povrnejo stroške. Pošlji prijavo na e-naslov.","10,14 €/h neto"
DELO V PROIZVODNJI,RADOMLJE, 2 , Dopoldan, začasno in občasno delo, 308842 , PO DOGOVORU ,DELO V PROIZVODNJI,,"Lažja dela v proizvodnji (zlaganje in pakiranje) ter občasno delo v skladišču  (dvigovanje bremen -  do 25 kg). Pogoji: starost nad 18 let, končana poklicna ali srednja šola, primerna fizična moč in izpit B kategorije. Plačilo je lahko tudi več za dobro opravljeno delo. Prijave sprejemajo na e-mail.","5,50 €/h neto"
KLICNI CENTER,LJUBLJANA BEŽIGRAD, 2 , Izmensko, začasno in občasno delo, 308841 , DLJE ČASA (OBČASNO) ,KLICNI CENTER,,"Zanimivo in razgibano delo v kontaktnem centru. Narava dela je sprejemanje dohodnih klicev, ki obsega svetovanje in posredovanje informacij o celotni ponudbi. Če se rad/a iz dneva v dan učiš novih stvari, se jim pridruži. Vloge pošljite na e-naslov.","4,50 €/h neto"
PRODAJA,MARIBOR, 2 , Izmensko, začasno in občasno delo, 308840 , DLJE ČASA (OBČASNO) ,PRODAJA,,"Prodaja in promocija kozmetičnih izdelkov in izdelkov za osebno nego v trgovini v centru mesta/stojnica med Božičnim sejmom. Pogoji: nad 20 let, energičnost, prijaznost,spretnost, zanesljivost,visoka motiviranost za nagrade in pripravljenost na nove izzive. Delo je za daljše obdobje, možnost kasnejše redne zaposlitve. Plačilo: osnovna postavka + stimulacija. Prijavo in kratko predstavitev na mail.","5,00 €/h neto"
DELO V PROIZVODNJI,ŠMARJE SAP, 1 , Popoldan, začasno in občasno delo, 308839 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,"Opis dela: pomoč pri pripravi surovin v čokoladnici. Ob sobotah dopoldne,  med tednom občasno popoldansko delo. Zahtevana natančnost.  Urna postavka po dogovoru. Za več informacij o delu pokličite.","4,50 €/h neto"
DELO V PROIZVODNJI,ŠMARJE  - SAP, 1 , Popoldan, začasno in občasno delo, 308838 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,"Opis dela: praženje in pomoč pri pripravi surovin v čokoladnici. Ob sobotah dopoldne,  med tednom občasno popoldansko delo. Zahtevana natančnost.  Urna postavka po dogovoru. Za več informacij o delu pokličite.","4,50 €/h neto"
PRODAJA,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 308837 , DLJE ČASA (OBČASNO) ,PRODAJA,,"Pomoč pri prodaji in promociji v trgovinah s kozmetičnimi izdelki in izdelki za osebno nego. Pogoji: energičnost, prijaznost, spretnost, zanesljivost, visoka motiviranost za nagrade in pripravljenost na nove izzive. Urna postavka je od 5,92 do 10,65 € bruto (5 do 9 € neto),  decembra tudi več. Možnost kasnejše redne zaposlitve. Prijavo in kratko predstavitev pošlji na e-mail.","5,00 €/h neto"
POMOČ PRI PRODAJI,PTUJ, 2 , Izmensko, začasno in občasno delo, 308836 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGOVORU ",POMOČ PRI PRODAJI,DELO NA BLAGAJNI,"Podjetje potrebuje polnoletni, komunikativni, vestni in zanesljivi osebi za pomoč pri prodaji otroških artiklov. Delo zajema pomoč na blagajni, svetovanje kupcem, polnjenje polic, ipd. Odpiralni čas prodajalne znotraj nakupovalnega centra je od 8. - 21. ure. Dela se v dopoldanskem in popoldanskem času, oz. po dogovoru in potrebi. Interesenti naj v dopoldanskem času pokličejo na kontakt podjetja.","4,22 €/h neto"
DELO NA RECEPCIJI,KRANJ, 1 , Po dogovoru, začasno in občasno delo, 308835 , DLJE ČASA (OBČASNO) ,DELO NA RECEPCIJI,,"Potrebujejo polnoletno osebo za občasno delo na recepciji doma upokojencev, sprejem in usmerjanje strank, sprejemanje telefonskih klicev, administrativna dela. Delo poteka večinoma med vikendi, lahko tudi med tednom. Pogoji: veselje do dela s starostniki, prijaznost in komunikativnost. Prednost kandidati s statusom študenta. Prijave sprejemajo na e-mail, za dodatna vprašanja so na voljo.","4,22 €/h neto"
FIZIOTERAPIJA,LJUBLJANA Z OKOLICO, 2 , Po dogovoru, začasno in občasno delo, 308834 ," DLJE ČASA, PRILAGODLJIV URNIK. ",FIZIOTERAPIJA,,"Prednost imajo absolventi fizioterapije ali delovne terapije. Delo poteka na terenu, zato je nujen lasten prevoz. Plačilo na začetku znaša 7,50 €/50min bruto in je stimulirano do 8,2 oziroma 9,70 € bruto za 50 minut. Prijave + CV sprejemajo na e-mail.","8,20 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 308833 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,"V svoj kolektiv vabijo komunikativnega/o, vestnega/o in prijaznega/o študenta/ko za pomoč pri prodaji v trgovini. Prednost imajo študenti/ke nižjih letnikov, ki bi bili pripravljeni delo opravljati dlje časa (občasno). Prijavo in življenjepis pošljite na e-naslov podjetja s pripisom: Za Ljubljano.","5,00 €/h neto"
BLAGAJNIK,ŠTEPANJSKO NASELJE, 3 , Po dogovoru, začasno in občasno delo, 308832 , DLJE ČASA (OBČASNO) ,BLAGAJNIK,,Podjetje išče več polnoletnih oseb za delo na blagajni.,"4,13 €/h neto"
DELO NA RECEPCIJI,RADOVLJICA, 1 , Izmensko, začasno in občasno delo, 308831 , DLJE ČASA (OBČASNO) ,DELO NA RECEPCIJI,,"Delo na recepciji: sprejem telefonskih klicev, pomoč stanovalcem in zaposlenim. Pogoji: odgovornost, prijaznost, zanesljivost in prilagodljivost. Kandidati naj CV pošljejo na e-mail.","4,50 €/h neto"
KOMERCIALNA DELA,KAMNIK, 1 , Po dogovoru, začasno in občasno delo, 308830 , DLJE ČASA (OBČASNO) ,KOMERCIALNA DELA,,"Se znajdeš na spletu? Ti odgovarja  delovnik in kraj dela, ki si ga sam-a določaš? Si ambiciozen -a? Vabijo te, da se pridružiš ekipi kot razvijalec-ka potencialnih produktov. Delo bo obsegalo iskanje novih produktov za namene spletne prodaje, predstavitev le teh in v nadaljevanju komuniciranje z dobavitelji.  Možnost dolgoročnega sodelovanja.","5,07 €/h neto"
POMOČ V KUHINJI,MARIBOR, 1 , Po dogovoru, začasno in občasno delo, 308829 ," DLJE ČASA (OBČASNO), PO DOGOVORU ",POMOČ V KUHINJI,,"Bi delal/a v mladi ekipi v novi restavraciji v centru Maribora? Če si navdušenka ali navdušenec nad azijsko hrano, te bodo veseli v kolektivu. Delovni čas je po dogovoru. Delo obsega čiščenje in pripravo sestavin in drugo asistenco kuharjem. Veselje do učenja in kuhanja je pomembnejše od izkušenj. Plačilo se viša glede na izkušnje, poleg plačila na uro se dobi tudi napitnina.","4,75 €/h neto"
DELO S STRANKAMI,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 308828 , DLJE ČASA (OBČASNO) ,DELO S STRANKAMI,,"Priznani frizareski salon vabi v svoj kolektiv prijazno, komunikativno, delavno, vestno osebo, z občutkom za delo z ljudmi, ki se je pripravljena učiti pri mojstru frizerske obrti, uveljavljenem doma in na zahodu. Izkušnje niso potrebne. Pogoj: trenutno šolanje na frizerski šoli, oziroma že končana frizerska smer. Za več informacij in prijavo pišite na e-mail.","5,24 €/h neto"
POMOČ V KUHINJI,LJUBLJANA CENTER, 2 , Po dogovoru, začasno in občasno delo, 308827 , DLJE ČASA (OBČASNO) ,POMOČ V KUHINJI,,"Pomoč pri čiščenju kuhinje in področij za pripravo hrane, pomoč pri pripravi hrane (preprosti postopki kot rezanje, segrevanje, zlaganje na krožnik) odvisno glede na znanje in izkušnje, shranjevanje zalog v hladilnikih in omarah, prevzem dostave, pomivanje posode in kuhinjskih pripomočkov, ostala dela po navodilu kuharja. Plačilo je odvisno od znanja in izkušenj.",PO DOGOVORU
POMOČNIK VZGOJITELJICE/VZGOJITELJA,LJUBLJANA, 1 , Po dogovoru,, 308826 , 13.-15.11.2019 ,POMOČNIK VZGOJITELJICE/VZGOJITELJA,,"V vrtcu potrebujejo pomoč pri varstvu in negi otrok za kratek čas, možno tudi nadaljne sodelovanje. Pogoji: zanesljiva, odgovorna oseba z izkušnjami.","4,13 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308824 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,ANALITIČNO DELO V FINANČNEM SEKTORJU,Tajništvo -  pomoč pri analitičnih in strokovnih delih na oddelku Plačilni in poravnalni sistemi (PPS). Zaželeni so absolventi dodiplomskih ali podiplomskih ekonomskih ved. Vlogo z življenjepisom posredujte na elektronski naslov.,"5,20 €/h neto"
RAZVOZ,MARIBOR, 2 , Po dogovoru, začasno in občasno delo, 308822 , DLJE ČASA (OBČASNO) ,RAZVOZ,,Razvoz hrane po Mariboru s službenim vozilom. Iščejo resne in odgovorne osebe. Pogoja sta vozniški izpit B kategorije in izkušnje.,"4,50 €/h neto"
DELO NA RECEPCIJI,LJUBLJANA, 4 , Po dogovoru, začasno in občasno delo, 308820 , DLJE ČASA (OBČASNO) ,DELO NA RECEPCIJI,,"Delo dežurnega na recepciji rastlinjaka in trgovine vključuje sprejem obiskovalcev, delo z blagajno, čiščenje prostorov, zalivanje in pletje rastlin, čiščenje in pakiranje semen in druga ročna dela. Če vas zanima botanika, ste komunikativni, odgovorni, radi delate z rastlinami in z ljudmi, jim do 8.11. pošljite osebno predstavitev. Več informacij o delu dobite 11.11. ob 8:00 na uvodnem sestanku.","4,13 €/h neto"
STROKOVNO DELO,LJUBLJANA CENTER, 1 , Dopoldan, začasno in občasno delo, 308821 , PO DOGOVORU ,STROKOVNO DELO,ADMINISTRATIVNA DELA,"Pisanje dopisov, oblikovanje internet strani in ostala dela. Potrebno je znanje s pravnega in ekonomskega področja, poznavanje delovanja evropskih razpisov, računalniška pismenost. Dela se dopoldan med 8. in 12. uro. Urna postavka je lahko tudi višja, odvisno od znanja. Pokliči ali pošlji prijavo na e-naslov.","5,66 €/h neto"
FIZIČNA DELA,PORTOROŽ, 4 , Po dogovoru, začasno in občasno delo, 308819 , DO 30.11.2019 ,FIZIČNA DELA,,Pomoč pri selitvi opreme iz hotelov.,"8,00 €/h neto"
PAKIRANJE,LJUBLJANA - ŠIŠKA, 1 , Dopoldan, začasno in občasno delo, 308818 , DLJE ČASA (OBČASNO) ,PAKIRANJE,,"Podjetje išče vestno in odgovorno osebo za delo v spletni trgovini. Delo zajema skladiščenje, pakiranje, štetje blaga, zlaganje na police. Pogoji: resnost, natančnost, hitrost. S kandidatom/ko si želijo daljšega sodelovanja. Prijave sprejemajo na mail.","4,39 €/h neto"
STREŽBA,TRNOVSKA VAS, 1 , Po dogovoru, začasno in občasno delo, 308817 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje potrebuje polnoletno in komunikativno osebo za delo v strežbi. Večinoma potrebujejo pomoč med vikendi, po potrebi tudi med tednom. Delovni čas je po dogovoru. Za prijavo pokličite na kontakt podjetja.","5,07 €/h neto"
ADMINISTRATIVNA DELA,LENDAVA, 1 , Dopoldan, začasno in občasno delo, 308816 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Znano farmacevtsko podjetje išče polnoletno osebo za administrativna dela na oddelku planiranja (priprava in pregled delovnih nalogov za proizvodnjo, spremljanje realizacije plana, vzdrževanje in vnos podatkov, ki podpira proces planiranja..). Prednost kandidati višjih letnikov poslovne-ekonomske smeri študija, matematike, računalništva...Prijavo s CV pošljite na e-naslov.","5,49 €/h neto"
STROKOVNO DELO,LJUBLJANA, 1 , Dopoldan, začasno in občasno delo, 308815 , DLJE ČASA (OBČASNO) ,STROKOVNO DELO,TEHNIČNA POMOČ,"Farmacevtsko podjetje potrebuje polnoletno osebo naravoslovne ali tehnične smeri študija za pomoč pri izdelavi elektronskih tehnoloških postopkov (pomoč pri pripravi tehnoloških postopkov, ekstrakcij iz sistemov, priprava osnutkov dokumentacije po predlogih, delo s podatki v okolju Excel ter SAP, urejanje dokumentacije....). Dopoldanski delovnik. Prijavo s CV pošljite na e-naslov.","4,65 €/h neto"
ADMINISTRATIVNA DELA,MENGEŠ, 1 , Dopoldan, začasno in občasno delo, 308814 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč pri administrativnih delih (urejanje dokumentacije, urejanje arhiva, zbiranje podatkov...). Prednost študentje mikrobiologija, biotehnologije, biokemije, farmacije.... Dopoldanski delovnik.","5,07 €/h neto"
DELO V PROIZVODNJI,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 308813 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,DELO V PRALNICI,"Znano farmacevtsko podjetje potrebuje polnoletni osebi za fizična dela v proizvodnji  - pralnica (posluževanje pomivalnega stroja za formatne dele, zlaganje delov na vozičke, pranje v pomivalnem stroju, sestava in pakiranje opranih delov v namensko embalažo). Delo se opravlja v 3. ali 4. izmenah (obvezno). Plačilo za nočno delo 7 € bruto/h. Prijavo s kratkim CV pošljite na e-naslov.","4,65 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 308812 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,Pomoč pri prodaji v trgovini z izdelki za vsakodnevno rabo. Pogoj je starost nad 18 let. Izkušnje so zaželene.,"4,65 €/h neto"
ADMINISTRATIVNA DELA,LJUBLJANA, 3 , Dopoldan, začasno in občasno delo, 308811 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,TEHNOLOG,"Znano farmacevtsko podjetje potrebuje polnoletne osebe za pomoč tehnologom pri statističnem vrednotenju podatkov za validacije, pripravi osnutkov planov in poročil, ostalo strokovno in administrativno podporo. Prednost imajo študentje farmacije, mikrobiologije, kemije ali kemijske tehnologije, prijavijo pa se lahko tudi kandidati drugih naravoslovnih smeri. Prijavo s CV pošljite na e-naslov.","5,07 €/h neto"
PAKIRANJE,LJUBLJANA - BEŽIGRAD, 1 , Izmensko, začasno in občasno delo, 308810 , DLJE ČASA (OBČASNO) ,PAKIRANJE,,"Znano farmacevtsko podjetje potrebuje polnoletne osebe za delo v pakirnici na oddelku trdnih izdelkov. Dela se v treh izmenah. Dnevna urna postavka od 5,50 - 6.00 € bruto, nočna urna postavka od  7,00  - 8,30 € bruto. Pogoj je tudi osnovno znanje slovenskega jezika (razumevanje navodil). Prijavo s CV pošlji na e-naslov.","4,65 €/h neto"
